o:resource_template,o:resource_class,dcterms:title,dcterms:description,fup8:ects,fup8:coef,fup8:semestre,fup8:hasParcours ^^resource:item
Unité d'enseignement,fup8:UE,UE 1 Théorie du numérique,,9,1,1,52
Unité d'enseignement,fup8:UE,UE 2 Pratiques numériques,,6,1,1,52
Unité d'enseignement,fup8:UE,UE 3 Ateliers Média,Choisir 2 EC parmi 5,6,1,1,52
Unité d'enseignement,fup8:UE,UE 4 Production Numérique,3 parmi 4,9,1,1,52
Unité d'enseignement,fup8:UE,UE 1 Théorie du numérique,,9,1,1,55
Unité d'enseignement,fup8:UE,UE 2 Pratiques numériques,,2,1,1,55
Unité d'enseignement,fup8:UE,UE 3 Fondamentaux en information-documentation,,7,1,1,55
Unité d'enseignement,fup8:UE,UE 4 Traitement de l'information,,12,1,1,55
Unité d'enseignement,fup8:UE,UE 1 Fondamentaux humanités,UE au choix avec la suivante,9,1,1,57
Unité d'enseignement,fup8:UE,UE 2 Fondamentaux numériques,UE au choix avec la précédente,9,1,1,57
Unité d'enseignement,fup8:UE,UE 3 Fondamentaux humanités numériques,,15,1,1,57
Unité d'enseignement,fup8:UE,UE 4 Ouverture 1,,6,1,1,57
Unité d'enseignement,fup8:UE,UE 5 Langages et Méthodes,1 parmi 3,3,1,2,52
Unité d'enseignement,fup8:UE,UE 6 Participation critique à la vie scientifique et culturelle I,,8,1,2,52
Unité d'enseignement,fup8:UE,UE 7 Réalisation projet,,19,3,2,52
Unité d'enseignement,fup8:UE,UE 5 Management de l'information,,8,1,2,55
Unité d'enseignement,fup8:UE,UE 6 Informatique documentaire,,9,1,2,55
Unité d'enseignement,fup8:UE,UE 7 Stage et rapport,,8,1,2,55
Unité d'enseignement,fup8:UE,UE 8 Anglais,,5,1,2,55
Unité d'enseignement,fup8:UE,UE 5 Plateformes numériques,3 parmi 4,9,1,2,57
Unité d'enseignement,fup8:UE,UE 6 Le numérique et l'information,,6,1,2,57
Unité d'enseignement,fup8:UE,UE 7 Ouverture 2,,6,1,2,57
Unité d'enseignement,fup8:UE,UE 8 Stage,,9,1,2,57
Unité d'enseignement,fup8:UE,UE 1 Outils & Méthodes,Choisir 3 EC parmi 4,15,1,3,53
Unité d'enseignement,fup8:UE,UE 2 Réalisation de prototypes crossmédias,,15,1,3,53
Unité d'enseignement,fup8:UE,UE 1 Epistémologie et  valorisation de l'information,,5,1,3,56
Unité d'enseignement,fup8:UE,UE 2 Management de l'information et des connaissances,,12,1,3,56
Unité d'enseignement,fup8:UE,UE 3 Stratégies informationnelles des entreprises,,8,1,3,56
Unité d'enseignement,fup8:UE,UE 4 Gouvernance de l'information,,5,1,3,56
Unité d'enseignement,fup8:UE,UE 1 Applications du numérique,,6,1,3,58
Unité d'enseignement,fup8:UE,UE 2 Etudes du numérique,UE au choix avec l'UE 3,12,1,3,58
Unité d'enseignement,fup8:UE,UE 3 Littérature numérique,,12,1,3,58
Unité d'enseignement,fup8:UE,UE 4 Préparation du mémoire,,9,1,3,58
Unité d'enseignement,fup8:UE,UE 5 d’ouverture 3,,3,1,3,58
Unité d'enseignement,fup8:UE,UE 1 Sociotechniques,,6,1,3,54
Unité d'enseignement,fup8:UE,UE 2 Méthodologies de recherche,,12,1,3,54
Unité d'enseignement,fup8:UE,UE 3 Modélisation,,12,1,3,54
Unité d'enseignement,fup8:UE,UE 3 Participation critique à la vie scientifique et culturelle II,,9,1,4,53
Unité d'enseignement,fup8:UE,UE 4 Langue étrangère,1 parmi 2,3,1,,53
Unité d'enseignement,fup8:UE,UE 5 Professionnalisation,,18,1,4,53
Unité d'enseignement,fup8:UE,UE 5 Architecture de l'information,,8,1,4,56
Unité d'enseignement,fup8:UE,UE 6 Stage et mémoire,,22,1,4,56
Unité d'enseignement,fup8:UE,UE 6 Enjeux technologiques en émergence,,6,1,4,58
Unité d'enseignement,fup8:UE,UE 7 Mémoire,,15,1,4,58
Unité d'enseignement,fup8:UE,UE 8 Ouverture 4,,9,1,4,58
Unité d'enseignement,fup8:UE,UE 4 Formation et recherche,,9,1,4,54
Unité d'enseignement,fup8:UE,UE 5 Référentiels de connaissances,,11,1,4,54
Unité d'enseignement,fup8:UE,UE 6 Professionnalisation et recherche,,10,1,4,54
